bank,year,fundamental_stress,fundamental_stress_normalized
NongHyup Bank,2025,6.777589321701656,1.0
Paytm Payments Bank Ltd.,2025,5.744454429266117,0.8842845115493524
Bank of China,2025,5.306363139224132,0.8352164295550686
Sonali Bank Ltd.,2025,4.630400864468645,0.7595057886985337
Bank of Nova Scotia,2025,3.8511363249149886,0.6722248561824087
United Overseas Bank Ltd.,2025,3.7781570670240945,0.6640508698661567
UBS AG (earlier Credit Suisse),2025,3.1394329211957386,0.5925110573393405
FirstRand Bank Ltd.,2025,2.817532779026173,0.5564568765579008
JSC VTB Bank,2025,2.805778676390613,0.5551403672252554
Cooperatieve Rabobank U.A.,2025,2.703357815515404,0.5436687965421948
Industrial Bank of Korea,2025,1.855722264380041,0.44873002083543756
NSDL Payment Bank Ltd.,2025,1.6593942205010834,0.42674044748896267
Slice Small Finance Bank Ltd. (earlier North East SFB),2025,1.4551011737336463,0.40385876004732013
PT Bank Maybank Indonesia TBK,2025,1.452278268718692,0.4035425827165118
Utkarsh Small Finance Bank Ltd.,2025,1.3483376317163815,0.39190079066335626
Jio Payments Bank Ltd.,2025,1.1808017228788619,0.37313605852034
ESAF Small Finance Bank Ltd.,2025,1.126711537860043,0.3670777284555377
Bank of Ceylon,2025,0.7728420981903077,0.3274428508040743
Fino Payments Bank Ltd.,2025,0.6769144664166431,0.31669854931171515
Suryoday Small Finance Bank Ltd.,2025,0.6521401133922118,0.31392371672957997
India Post Payments Bank Ltd.,2025,0.6414065708354912,0.3127215144529453
Airtel Payments Bank Ltd.,2025,0.6027789857142444,0.30839506113818327
Ujjivan Small Finance Bank Ltd.,2025,0.41864943012676764,0.28777177020201455
IDFC First Bank Ltd.,2025,0.4004515467752079,0.2857335301075101
Bandhan Bank,2025,0.396039534699201,0.28523936604804084
Societe Generale,2025,0.34193456010402595,0.2791793794879787
Standard Chartered Bank,2025,0.32958348577844576,0.2777960067948878
Au Small Finance Bank Ltd.,2025,0.23053361890074764,0.26670200173258213
Shivalik Small Finance Bank Ltd.,2025,0.12559827495536433,0.2549487982842393
Jana Small Finance Bank Ltd.,2025,0.08553625859447271,0.2504616825886404
American Express Banking Corporation,2025,-0.04551101789497028,0.2357838319806191
Capital Small Finance Bank Ltd.,2025,-0.0526582919312963,0.23498330698406772
Unity Small Finance Bank Ltd.,2025,-0.08695367240587856,0.23114207895830466
Equitas Small Finance Bank Ltd.,2025,-0.09582795118859842,0.2301481221076471
RBL Bank,2025,-0.2429267351151569,0.21367243460818533
Indusind Bank Ltd.,2025,-0.3688061211441059,0.1995734096436246
SBM Bank (India) Ltd.,2025,-0.3742098267481312,0.198968171704231
Bank of Maharashtra,2025,-0.5524204910646646,0.17900782168654084
Citibank N.A.,2025,-0.5721587985560501,0.17679704755696873
CTBC Bank Co. Ltd.,2025,-0.6044826699612239,0.1731766369061892
Deutsche Bank AG,2025,-0.6433294994145005,0.1688256272966426
UCO Bank,2025,-0.6932705244443799,0.16323202074306364
NatWest Markets PLC,2025,-0.69629003476559,0.16289382278434705
Bank of Bahrain and Kuwait  B.S.C.,2025,-0.723341176772825,0.15986398018253956
Kotak Mahindra Bank Ltd.,2025,-0.7393117017493731,0.15807521367004868
IDBI Ltd.,2025,-0.7511328705000186,0.1567511926481531
Axis Bank Ltd.,2025,-0.7973318990616923,0.15157670556509967
Dhanlaxmi Bank Ltd,2025,-0.7983749667155697,0.15145987756525256
Tamilnad Mercantile Bank Ltd.,2025,-0.7988161585588198,0.1514104622081526
First Abu Dhabi Bank,2025,-0.8377070382480163,0.14705451878540976
The Jammu & Kashmir Bank Ltd.,2025,-0.8443790952839448,0.14630722010782568
The Karur Vysya Bank Ltd.,2025,-0.8690195486134193,0.14354738485926113
Nainital Bank Ltd.,2025,-0.8781888435537522,0.14252038494808075
Industrial & Commercial Bank of China Limited (ICBC),2025,-0.8801990239563612,0.1422952362198121
