companyCode,news_stress,entity_stress_fundamental
20ML,0.5205,9.21
AABPPI,0.3171,9.34
AACIPR,0.1701,10.18
AADPAL,0.403,10.94
AAFIPL,0.1574,9.64
AAGECPL,0.3344,12.24
AAKTIL,0.3451,11.58
AANVIKMERC,0.4353,14.69
AARAPL,0.331,16.86
AARDRUL,0.3426,11.58
AASOPL,0.5099,11.91
AATEPL35,0.2077,15.67
ABB,0.3273,10.79
ABCCPL,0.445,85.77
ABHINDLTD,0.3545,10.75
ABJTES,0.5425,21.84
ABL,0.613,22.72
ABMTMPL,0.5625,19.32
ABNCONS,0.3979,7.9
ABNMIL,0.4778,60.0
ABSEIPL,0.4915,45.01
ABSMSPL,0.3409,12.13
ABUEPL,0.3869,60.0
ACCLTD,0.467,9.8
ACCPRL,0.6236,9.7
ACEMSL,0.3588,10.73
ACLADP,0.3454,20.94
ACMESL,0.3944,11.93
ACMETL,0.366,10.8
ACNCIPL,0.4797,10.95
ACPEPL61,0.4425,10.61
ACSBPL,0.2257,27.64
ACSHPL,0.4313,20.54
ACTCTL,0.327,13.2
ACUDES,0.5681,25.59
ACVUPL,0.4234,14.22
ADAIHL,0.4418,12.81
ADBFSPL,0.4476,21.56
ADBLBL,0.3626,9.26
ADCA,0.4571,12.69
ADCHIL,0.5718,11.02
ADCIL,0.365,10.4
ADGEUL,0.3805,8.31
ADGREL,0.415,13.03
ADNGS,0.4284,10.96
ADNPT,0.1576,11.96
ADNTJES,0.941,9.78
ADOPL,0.4215,16.62
ADPLAD,0.3453,19.68
ADPOPL,0.3805,12.06
ADRETL52,0.4107,11.22
ADTRLI,0.3745,13.35
ADTSWL,0.3784,10.37
ADTUSPL,0.4815,16.25
ADVNP,0.4239,30.11
ADWETL,0.4328,10.72
ADYGBM,0.3329,10.89
ADYSW,0.3153,12.49
AEABAR,0.4249,10.45
AEABPL,0.2167,13.6
AECFPL,0.4357,10.27
AEGEPL78,0.4462,12.93
AEGSPLD,0.4483,60.0
AEPIPLTD,0.4937,11.61
AEPLTD,0.576,9.51
AERLEE,0.432,20.4
AERREPL,0.4895,10.93
AESARF,0.3478,11.23
AFBX,0.3803,10.31
AFEBL,0.3539,42.29
AFFEPL,0.5028,47.21
AFFTPL,0.3311,12.04
AFOSPL,0.4921,46.25
AFPCPL,0.3883,18.06
AGDILI,0.3956,11.42
AGEH,0.3483,8.72
AGGIPL,0.4337,24.86
AGLL,0.4349,60.0
AGPRLI,0.1262,13.47
AGRPPL,0.3631,12.16
AGSPLL,0.0511,27.6
AHCON,0.4679,48.34
AHSFPL,0.3396,7.69
