Bank Name,Advances 2023,Advances 2024,Advances 2025,Business Per Employee 2023,Business Per Employee 2024,Business Per Employee 2025,Capital Adequacy Ratio (Basel-III) 2023,Capital Adequacy Ratio (Basel-III) 2024,Capital Adequacy Ratio (Basel-III) 2025,Credit Deposit Ratio 2023,Credit Deposit Ratio 2024,Credit Deposit Ratio 2025,Deposits 2023,Deposits 2024,Deposits 2025,Gross NPA 2023,Gross NPA 2024,Gross NPA 2025,Interest Expended 2023,Interest Expended 2024,Interest Expended 2025,Interest Income 2023,Interest Income 2024,Interest Income 2025,Investment Deposit Ratio 2023,Investment Deposit Ratio 2024,Investment Deposit Ratio 2025,Investments 2023,Investments 2024,Investments 2025,Net NPA 2023,Net NPA 2024,Net NPA 2025,Net NPA as % to Net Advances 2023,Net NPA as % to Net Advances 2024,Net NPA as % to Net Advances 2025,Net Profit 2023,Net Profit 2024,Net Profit 2025,Operating Expenses 2023,Operating Expenses 2024,Operating Expenses 2025,Operating Expenses as % to Total Expenses 2023,Operating Expenses as % to Total Expenses 2024,Operating Expenses as % to Total Expenses 2025,Operating Profit 2023,Operating Profit 2024,Operating Profit 2025,Other Income 2023,Other Income 2024,Other Income 2025,Profit Per Employee 2023,Profit Per Employee 2024,Profit Per Employee 2025,Provision Coverage Ratio (%) 2023,Provision Coverage Ratio (%) 2024,Provision Coverage Ratio (%) 2025,Provisions & Contingencies 2023,Provisions & Contingencies 2024,Provisions & Contingencies 2025,Return on Assets (%) 2023,Return on Assets (%) 2024,Return on Assets (%) 2025,Spread as % of Total Assets 2023,Spread as % of Total Assets 2024,Spread as % of Total Assets 2025,Total Assets 2023,Total Assets 2024,Total Assets 2025,Total Expenditure 2023,Total Expenditure 2024,Total Expenditure 2025,Total Income 2023,Total Income 2024,Total Income 2025
AB Bank Limited,,,,2.92,3.0545,3.0458,,,,41.04658197217181,30.796038316736034,29.58040610438607,,,,,,,,,,8.7,14.9429,23.5,45.12250453720508,33.524706349707934,53.32746610891751,,,,,,,0.0,0.0,0.0,9.000000000000002,15.2227,21.355500000000003,,,,,,,18.92,26.7468,34.8402,27.28,28.4586,33.1,31.0,63.43,73.68,,,,9.92,11.5241,13.4847,,,,3.1254847215759267,3.2709498678924898,4.873237478567487,,,,,,,35.980000000000004,43.4015,56.6
AB Bank Ltd.,54.28,68.22,73.3726,,,,70.55,96.32,87.97,,,,132.24,221.522,248.0446,0.0,0.0,0.0,0.64,0.6689,0.3645,,,,,,,59.67,74.2646,132.2759,0.0,0.0,0.0,,,,,,,16.42,15.9858,21.3953,96.2485345838218,95.98371630830937,98.32489269202841,,,,,,,,,,,,,,,,2.71,4.64,5.1,,,,257.88,436.387,474.746,17.060000000000002,16.6547,21.7598,,,
Airtel Payments Bank Ltd.,,,,1.34,1.86,2.01,49.1,38.31,37.95,,,,1678.95,2630.54,3418.06,,,,31.94,43.91,61.84,96.13,165.11,252.71,97.16012984305667,99.74225824355456,96.3701631919861,1631.27,2623.76,3293.99,,,,0.0,0.0,0.0,21.64,34.51,62.6,1231.26,1744.81,2604.23,97.47150094996833,97.54517196654591,97.68084739278186,27.89,47.08,42.57,1194.95,1670.69,2455.92,1.72,2.44,3.68,,,,6.25,12.57,-20.03,0.87,0.99,1.2,2.1209668092980225,2.5800408719346053,2.5411791646474278,3026.45,4697.6,7511.08,1263.2,1788.72,2666.06,1291.08,1835.8,2708.63
American Express Banking Corporation,3970.78,4718.723,6194.7637,4.83,5.86,7.09,32.34,23.48,17.2,123.53790344158149,114.62937968722974,120.10950643385927,3214.22,4116.504,5157.5965,288.12,261.8794,295.2784,130.44,208.743,298.777,602.65,665.833,752.9684,127.43091636540125,111.98597159142807,90.36348229257564,4095.91,4609.907,4660.5838,41.4,38.13,37.81,1.0426163121603311,0.81,0.61,70.78999999999985,66.22699999999978,13.39269999999992,1617.19,1909.365,2232.6205,92.53617756618964,90.1448368071883,88.1971519684285,114.40999999999985,89.32699999999977,138.63979999999992,1259.39,1541.602,1917.0689,4.81,4.76,0.93,,,,43.62,23.1,125.2471,0.77,0.65,0.12,4.794165901836404,4.294554924519126,3.7095756611030852,9849.68,10643.4778,12243.7562,1747.63,2118.108,2531.3975,1862.04,2207.435,2670.0373
Au Small Finance Bank Ltd.,58421.54,73162.6547,107092.48,3.68,4.65,4.02,23.59,20.06,20.06,84.22338127634704,83.91933772784621,86.17827166875864,69364.99,87182.1164,124268.54,981.31,1237.4004,2477.0299,3780.12,5397.6293,8052.1494,8205.41,10554.7131,16063.73,28.936787852200364,31.12262746124388,30.45623614794219,20072.0,27133.3653,37847.52,245.1588,400.9897,791.34,0.4196376884279326,0.55,0.7389314357086512,1427.2099999999991,1534.719,2105.9231000000013,3440.0,4388.0022,5957.22,47.644637485249554,44.84127774482413,42.52311313883978,2018.749999999999,2466.2216000000008,4580.670600000001,1034.46,1697.14,2526.31,5.0,5.33,4.39,,,,591.54,931.5,2474.7475,1.79,1.54,1.53,4.90521038869887,4.712864727913355,5.075578438655922,90216.11,109425.6699,157845.6662,7220.12,9785.6315,14009.3694,9238.869999999999,12251.8531,18590.04
Australia & New Zealand Banking Group Ltd. (ANZ),3169.66,3877.756,4323.6731,122.84,145.768,150.5147,20.11,20.43,17.91,52.28469015936169,48.69335319899359,53.885276352665066,6062.31,7963.6249,8023.8488,0.0,0.0,0.0,278.43,774.169,1376.6365,652.2,1243.197,1879.9122,124.96259676591926,222.98545226558826,284.17402631016677,7575.62,17757.725,22801.6942,0.0,0.0,0.0,0.0,0.0,0.0,128.66000000000008,148.55399999999997,279.4006,141.07,145.725,196.3093,33.62812872467223,15.841499129247499,12.480360098866726,200.55000000000007,250.36599999999999,483.15700000000015,-32.15,-72.937,176.1906,171.55,183.4,340.73,,,,71.89,101.812,203.7564,0.77,0.66,0.87,2.080022170876017,1.6787506831821053,1.3330124237247256,17969.52,27939.11,37754.7644,419.5,919.894,1572.9458,620.0500000000001,1170.26,2056.1028
Axis Bank Ltd.,845302.84,965068.38,1040811.32,20.0,20.19,20.88,17.64,16.63,17.07,89.26628817310349,90.30797319201722,88.73434737765318,946945.21,1068641.39,1172952.02,18604.23,15127.12,14490.11,42218.02,59474.15,68329.22,85163.77,109368.63,122677.04,30.499634714874375,31.023246254760924,33.773060043837084,288814.83,331527.25,396141.79,3558.92,3247.47,3685.45,0.39,0.31,0.33,9579.68,24861.43,26373.48,27040.86,35213.28,37499.95,39.04316673905209,37.188970067093386,35.43441756181211,32048.309999999998,37123.16,42104.93,16143.42,22441.96,25257.06,10.94,25.29,25.45,,94.07,75.0,22468.629999999997,12261.73,15731.45,0.8,1.83,1.74,3.2600711837718657,3.377619112155182,3.3757880187924703,1317325.53,1477208.6,1609929.88,69258.88,94687.43,105829.17,101307.19,131810.59,147934.1
BNP Paribas,11597.88,12923.024,14354.7225,83.12,91.86,118.75,15.83,17.0,16.62,61.33504256689649,66.65379978562305,57.90484109198645,18909.06,19388.278,24790.1941,0.0,0.0,0.0,1416.11,1784.249,2419.7118,2607.61,3087.212,4037.7316,150.55645283266327,156.24178691887954,184.67935755291242,28468.81,30292.592,45782.3712,0.0,0.0,0.0,0.0,0.0,0.0,473.39000000000067,593.0519999999997,635.2569000000003,633.5,652.526,768.906,30.908319143641965,26.77826225236224,24.114084792476536,881.4900000000007,1072.1929999999998,1064.4048000000003,323.49,421.756,215.291,133.73,169.0,194.0,,,,408.1,479.141,429.1479,0.95,1.18,1.01,1.9332489615784012,2.21387180510834,1.8789573181673558,61632.0,58854.4918,86112.6426,2049.6099999999997,2436.775,3188.6178,2931.1000000000004,3508.968,4253.0226
Bandhan Bank,104756.769,121136.783,131987.3177,3.02,3.19,3.35,19.76,14.69,18.71,96.93894370122193,89.59690013415484,87.28598401114976,108064.69,135201.98,151212.499,5298.62,4784.88,6435.56,6645.08,8550.7766,10457.6451,15904.699,18869.618,21948.228,29.950476885650623,21.662092522609505,26.923882462917305,32365.89,29287.578,40712.2755,1228.27,1347.61,1692.8492,1.1724970249893827,1.1124696946921564,1.28,2194.638,2229.562,2745.2955,4636.819,5850.777,7068.4951,41.09963225162714,40.62601273795905,40.3311568853021,7091.349,6639.4843,7388.687799999996,2468.55,2171.4199,2966.6,3.36,3.0,3.53,,84.49,86.5,4896.710999999999,4409.92,4643.393,1.56,1.44,1.53,5.934242224919188,5.80226334933144,6.001047435176288,156037.092,177841.659,191476.2885,11281.899000000001,14401.5536,17526.1402,18373.25,21041.0379,24914.827999999998
Bank of America NA,20716.12,27437.983,34492.2603,148.1,175.739,201.2356,19.82,18.46,19.14,39.342799023766396,45.840223516253054,51.65051817236588,52655.43,59855.692,66780.0857,0.0,0.0,0.0,881.97,1872.144,2857.7788,3729.15,5616.671,6926.3965,68.55237911835495,100.50774953867376,118.86919171773388,36096.55,60159.609,79380.9481,0.0,0.0,0.0,0.0,0.0,0.0,1159.63,1881.4180000000001,2570.341700000001,979.01,1013.447,1102.5726,52.60722844952659,35.120950959439504,27.8402719516253,2146.54,3474.516,4229.290800000001,278.37,743.436,1263.2457,237.14,383.96,517.17,,,,986.91,1593.098,1658.9491,1.49,2.09,2.39,3.4253400671237597,3.506636630707348,2.9659777306370856,83121.09,106784.004,137176.2727,1860.98,2885.591,3960.3514,4007.52,6360.107,8189.6422
Bank of Bahrain and Kuwait  B.S.C.,1728.86,1434.328,1415.066,38.51,36.04,37.64,22.13,22.87,29.49,77.24090480594387,69.4725411303029,74.56388746910882,2238.27,2064.597,1897.79,18.35,18.39,5.18,93.254,115.007,113.617,145.86,166.948,168.299,23.816161589084427,25.644326713639508,31.644807908145793,533.07,529.452,600.552,13.39,2.89,0.09,0.71,0.13,0.0,17.165999999999997,5.895999999999997,0.3346,43.63,49.557,47.604,31.873703281610705,30.11411973457135,29.527170778000382,28.165999999999997,32.885999999999996,22.045800000000014,19.19,30.502,14.9678,16.66,6.0,0.0,,,,11.0,26.99,21.709,0.64,0.22,0.01,1.9122292377763965,2.030483244926528,2.264489115071844,2751.03,2558.061,2414.761,136.88400000000001,164.56400000000002,161.221,165.05,197.45000000000002,183.26680000000002
Bank of Baroda,940998.27,1065781.72,1209557.9,26.66,30.46,34.33,16.24,16.31,17.19,78.17627443076415,79.82568073194619,82.16910761317912,1203687.79,1335136.4,1472034.85,36763.68,31833.63,27834.88,48232.53,67884.41,75782.96,89588.54,112605.94,121441.64,30.114566502331968,27.698805904774975,26.181340068137654,362485.36,369816.84,385398.45,8384.32,7213.34,6994.24,0.8910027007807356,0.68,0.58,14109.619999999994,17788.780000000002,19581.15,24518.31,28251.68,29871.38,33.70175519622867,29.387173953090873,28.272742984339306,26863.539999999994,30965.22,32434.63,10025.84,14495.37,16647.33,18.06,23.56,26.11,92.43,93.3,93.29,12753.92,13176.439999999999,12853.48,1.03,1.17,1.16,2.8353969898315015,2.8201294025580532,2.563298172428969,1458561.54,1585797.09,1781247.32,72750.84,96136.09,105654.34000000001,99614.37999999999,127101.31,138088.97
