crisilName,dummyCIN
National Bank For Agriculture and Rural Development,D00000NA2026DUM000001
The Haryana State Cooperative Supply and Marketing Federation Limited,D00000NA2026DUM000002
Export Import Bank of India,D00000NA2026DUM000003
Oriental Infratrust,D00000NA2026DUM000004
Bajoli Holi Hydropower Private Limited,D00000NA2026DUM000005
C. J. Shah and Co.,D00000NA2026DUM000006
Surat-Tapi District Co-operative Milk Producers Union Limited,D00000NA2026DUM000007
SRM Institute of Science and Technology,D00000NA2026DUM000008
Valsad District Cooperative Milk Producers Union Limited,D00000NA2026DUM000009
RPP Infra Projects Limited,D00000NA2026DUM000010
MHK Buildcon LLP,D00000NA2026DUM000011
Divya  Pharmacy Unit Of Divya Yog Mandir Trust,D00000NA2026DUM000012
Sri Adichunchanagiri Shikshana Trust,D00000NA2026DUM000013
RIPL Mehsana Vadnagar Highways Private Limited,D00000NA2026DUM000014
Dr. Patangrao Kadam Sonhira Sahakari Sakhar Karkhana Limited,D00000NA2026DUM000015
Ramniklal S Gosalia and Co,D00000NA2026DUM000016
H Dipak and Co.,D00000NA2026DUM000017
K. C. Vijayakumar,D00000NA2026DUM000018
St Peters Institute Of Higher Education And Research,D00000NA2026DUM000019
KGEPL Engineering Solutions Private Limited,D00000NA2026DUM000020
Shah C J World LLP,D00000NA2026DUM000021
RKCPL Limited,D00000NA2026DUM000022
V Sathyamoorthy and Co,D00000NA2026DUM000023
BL Kashyap and Sons Limited,D00000NA2026DUM000024
Eximius Infra Tech Solutions LLP,D00000NA2026DUM000025
North Western Karnataka Road Transport Corporation,D00000NA2026DUM000026
Dr Babasaheb Ambedkar Sahakari Sakhar Karkhana Limited,D00000NA2026DUM000027
Lavu Educational Society,D00000NA2026DUM000028
Reproscan Tech Park Llp,D00000NA2026DUM000029
R. N. Dobariya,D00000NA2026DUM000030
MKC Agro Fresh Limited,D00000NA2026DUM000031
Thane Municipal Corporation,D00000NA2026DUM000032
Nanda Devi Bio Energy LLP,D00000NA2026DUM000033
Ananta Charitable Educational Society,D00000NA2026DUM000034
Lissie Medical Institutions,D00000NA2026DUM000035
Shri Jagannath Prasad Ganeshi Lal Bajaj Charitable Trust Samiti,D00000NA2026DUM000036
Gokulanand Petrofibres,D00000NA2026DUM000037
Jesons Techno Polymers LLP,D00000NA2026DUM000038
Sharad Sahakari Sakhar Karkhana Limited,D00000NA2026DUM000039
I Vetrivel,D00000NA2026DUM000040
GRG Infra,D00000NA2026DUM000041
Shri Dinesh Roadlines,D00000NA2026DUM000042
R. Kantilal and Company,D00000NA2026DUM000043
Elegant Collection,D00000NA2026DUM000044
IVLR Infrastructure,D00000NA2026DUM000045
Hombale Films LLP,D00000NA2026DUM000046
Sunil Kumar Agrawal LLP,D00000NA2026DUM000047
Gokul Overseas,D00000NA2026DUM000048
