companyCode,companyName,total_facilities,cumulative,cum_pct
NTPCLTD,NTPC Limited,151000.0,151000.0,3.989202533817809
SIDBILT,Small Industries Development Bank of India,140000.0,291000.0,7.687800909542932
INDOIL,Indian Oil Corporation Limited,130800.0,421800.0,11.143348534863259
LICHOUS,LIC Housing Finance Limited,130085.88,551885.88,14.580030138240211
BHAPETR,Bharat Petroleum Corporation Limited,105000.0,656885.88,17.353978920034052
RELIANC,Reliance Industries Limited,100000.0,756885.88,19.995834902694853
NABARDE,National Bank For Agriculture and Rural Development,90000.0,846885.88,22.373505287089575
SHRTRAN,Shriram Finance Limited,75743.00000000001,922628.88,24.374526264036344
POGRCOL,Power Grid Corporation of India Limited,69469.95999999999,992098.84,26.20982255844841
HDBFSLTD,HDB Financial Services Limited,62500.00000000001,1054598.84,27.860982547611414
HPRARL,HPCL Rajasthan Refinery Limited,62500.0,1117098.84,29.512142536774412
SBICSPL,SBI Cards and Payment Services Limited,62000.0,1179098.84,31.150093246024106
SESGOA,Vedanta Limited,57342.0,1236440.84,32.66498630360147
RRL,Reliance Retail Limited,55000.0,1291440.84,34.11800709406491
TCHFL,Tata Capital Housing Finance Limited,55000.0,1346440.84,35.57102788452834
HINPETR,Hindustan Petroleum Corporation Limited,50000.0,1396440.84,36.89195587585875
ADPOPL,Adani Power Limited,46000.0,1442440.84,38.10720962788272
AIRINAR,Air India Limited,39000.0,1481440.84,39.13753346112043
ESSGUJA,Arcelormittal Nippon Steel India Private Limited,38000.0,1519440.84,40.14143873453153
SIPVTLTD,Jiostar India Private Limited,33000.0,1552440.84,41.0132512088096
NUMREFNLD,Numaligarh Refinery Limited,32800.0,1585240.84,41.87977997112234
BAJAUTF,Bajaj Finance Limited,31000.0,1616240.84,42.69875532574719
RJIPLR,Summit Digitel Infrastructure Limited,30008.0,1646248.84,43.49152346902404
EXPIMPB,Export Import Bank of India,30000.0,1676248.84,44.28408026382228
INFAFEC,Indian Farmers Fertiliser Cooperative Limited,28000.0,1704248.84,45.02379993896731
KALPOWE,Kalpataru Projects International Limited,26329.0,1730577.84,45.71937420064207
MUFILT,Muthoot Fincorp Limited,25999.999999999996,1756577.84,46.40625675613388
GDS22092,The Haryana State Cooperative Supply and Marketing Federation Limited,25050.0,1781627.84,47.068041679790404
CFSL,Credila Financial Services Limited,25000.0,1806627.84,47.72850567545561
IDHFL,Sammaan Capital Limited,24549.98,1831177.82,48.377080790827634
DEWHOUS,Piramal Finance Limited,24000.0,1855177.82,49.01112622666623
TECCOMP,The Tata Power Company Limited,23918.160000000003,1879095.98,49.643009567568605
BHRTELELD,Bharti Airtel Limited,20000.0,1899095.98,50.17138076410077
TPREL,Tata Power Renewable Energy Limited,19224.289999999997,1918320.27,50.67925881958983
BAHOFL,Bajaj Housing Finance Limited,16000.0,1934320.27,51.101955776815565
MAGLEAS,Poonawalla Fincorp Limited,15285.000000000002,1949605.27,51.50576346376526
LTPGCL,Lalitpur Power Generation Company Limited,15115.0,1964720.27,51.90507999554445
HLYFI,Hinduja Leyland Finance Limited,15000.0,1979720.27,52.30135839294356
OIINLTJ,Oil India Limited,14000.0,1993720.27,52.67121823051608
GDS552,Air India Express Limited,14000.0,2007720.27,53.04107806808859
ADGREL,Adani Green Energy Limited,13530.0,2021250.27,53.39852118254259
NMIAPL,Navi Mumbai International Airport Private Limited,13326.67,2034576.94,53.750592611227056
IDIFHF,IIFL Home Finance Limited ,13300.000000000004,2047876.94,54.101959456920945
HINZINC,Hindustan Zinc Limited,12270.0,2060146.94,54.42611518599343
MANLEAF,Manappuram Finance Limited,12000.0,2072146.94,54.74313790391272
LTFNCH,L&T Finance Limited,11500.0,2083646.94,55.046951341918714
TMCOVL,Tata Motors Limited,11100.0,2094746.94,55.34019735599406
